,model_data
Mercedes-Benz,"['Aerostar', 'B-Max', 'Bronco', 'C-Max', 'Capri', 'Connect Elekto', '220', '230', '240', '250', '260', '270', '280', '300', '308', '320', '350', '380', '400', '416', '420', '450', '500', '560', '600', 'A Series (all)', '   A 140', '   A 150', '   A 160', '   A 170', '   A 180', '   A 190', '   A 200', '   A 210', '   A 220', '   A 250', '   A 35 AMG', '   A 45 AMG', 'Actros', 'AMG GT', 'Atego', 'B Series (all)', '   B 150', '   B 160', '   B 170', '   B 180', '   B 200', '   B 220', '   B 250', '   B Electric Drive', 'C Series (all)', '   C 160', '   C 180', '   C 200', '   C 220', '   C 230', '   C 240', '   C 250', '   C 270', '   C 280', '   C 30 AMG', '   C 300', '   C 32 AMG', '   C 320', '   C 350', '   C 36 AMG', '   C 400', '   C 43 AMG', '   C 450', '   C 55 AMG', '   C 63 AMG', 'CE (all)', '   CE 200', '   CE 220', '   CE 230', '   CE 280', '   CE 300', 'Citan', 'CL (all)', '   CL', '   CL 160', '   CL 180', '   CL 200', '   CL 220', '   CL 230']"
Mercury,"['Marquis', 'Sable', 'Villager', 'Others']"
Microcar,"['Cargo', 'Due', 'Ecology/Lyra', 'Flex', 'M.Cross', 'M.Go', 'M8', 'MC1', 'MC2', 'Sherpa', 'Virgo', 'Others']"
Militem,"['Cargo', 'Due', 'Ecology/Lyra', 'Flex', 'Magnum', 'Others']"
Minari,"['Ferox', 'Ferox Adventure', 'Others']"
Minauto,"['Access', 'Cross', 'GT']"
Mitsubishi,"['3000 GT', '400', 'Airtrek', 'ASX', 'Attrage', 'Canter', 'Carisma', 'Chariot', 'Colt', 'Cordia', 'Cosmos', 'Delica', 'Diamante', 'DINGO', 'Dion', 'Eclipse', 'Eclipse Cross', 'FTO', 'Galant', 'Galloper', 'Grandis', 'I-MiEV', 'L200', 'L300', 'L400', 'Lancer', 'Legnum', 'Libero', 'Mirage', 'Montero', 'Outlander', 'Pajero', 'Pajero Pinin', 'Pajero Sport', 'PICK UP', 'RVR', 'Santamo', 'Sapporo', 'Shogun', 'Sigma', 'Space Gear', 'Space Runner', 'Space Star', 'Space Wagon', 'Starion', 'Tredia', 'Others']"
Mitsuoka,"['3000 GT', '400', 'Like-T3', 'Rock Star', 'Ryugi', 'Viewt', 'Others']"
Morgan,"['Galue', 'Himiko', 'Like-T3', 'Rock Star', 'Ryugi', 'Viewt', 'Aero Max']"
Moskvich,"['100-Years-Special', '3-Wheeler', '4-Sitzer', '4/4', 'Aero 8', 'Aero Coupe', '21412', '214145', '2142', '2335', '2901', '408', '412', '426', '427', '434', 'Duet', 'Ivan Kalita']"
NSU,"['100 NX', 'Prinz', 'Prinz 1000', 'Prinz 1000 TT', 'RO80', 'Sport-Prinz', 'TT', 'TTS', 'Wankel-Spider', 'Others']"
Nissan,"['Erelis', 'PS160', 'Others']"
Oldsmobile,"['1000', 'Prinz', 'Prinz 1000', 'Prinz 1000 TT', 'RO80', 'Dynamic 88', 'Silhouette', 'Supreme', 'Toronado', 'Others']"
Oldtimer,"['442', 'Bravada', 'Custom Cruiser', 'Cutlass', 'Delta 88', 'Alvis', 'AMC', 'American', 'Amphicar', 'Ariel']"
Opel,"['Adam', 'Agila', 'Ampera', 'Ampera-E', 'Antara', 'Arena', 'Ascona', 'Astra', 'Calibra', 'Campo', 'Cascada', 'Combo', 'Combo Life', 'Combo-e', 'Combo-e Life', 'Commodore', 'Corsa', 'Corsa-e', 'Crossland', 'Crossland X', 'Diplomat', 'Frontera', 'Grandland', 'Grandland X', 'GT', 'Insignia', 'Kadett', 'Karl', 'Manta', 'Meriva', 'Mokka', 'Mokka X', 'Mokka-E', 'Monterey', 'Monza', 'Movano', 'Movano-e', 'Omega', 'Pick Up Sportscap', 'Rekord', 'Rocks-e', 'Senator', 'Signum', 'Sintra', 'Speedster', 'Tigra', 'Vectra', 'Vivaro', 'Vivaro-e', 'Zafira', 'Zafira Life', 'Zafira Tourer', 'Others']"
Others,"['E200', 'T300', 'T600', 'T700', 'Traum Meet 3', 'Traum S70', 'Barkas', 'Bertone', 'Bilenkin Classic Cars', 'Binz', 'Bitter']"
PGO,"['1007', '104', '106', '107', 'Speedster II', 'Others']"
Pagani,"['Huayra', 'Zonda', 'Others']"
Panther Westwinds,"['Huayra', 'Zonda', 'Others']"
Peugeot,"['Lazer', 'De Ville', 'Kallista', 'Lima', 'Rio', '2008', '204']"
